"* Required Fields","* Erforderliche Felder"
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please select","-- Bitte wählen --"
"Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Point your smartphone camera at the QR code. Or select the 'Code' tab and enter the payment code.","Richten Sie Ihr Smartphone auf den QR-Code aus oder wählen Sie den ""Code"" Tab um den Zahlungscode manuell einzugeben."
"Price","Preis"
"Processing order: Waiting for confirmation from merchant.","Zahlung wird verarbeitet: Warten auf Bestätigung vom Händler"
"Processing order: Waiting for confirmation from user.","Zahlung wird verarbeitet: Warten auf Bestätigung vom User"
"Processing order:. Waiting for pairing from user.","Zahlung wird verarbeitet: Warten auf Abrechnung vom User"
"Product","Produkt"
"Product Name","Produktname"
"Purchase Point","Einkaufsort"
"QR - CODE","QR-Code"
"Qty","Anzahl"
"Recurring Payments","Abo Zahlungen"
"Refund Amount","Rückerstattungsbetrag"
"Refund ID","Rückvergütungs ID"
"Refund amount","Rückerstattungsbetrag"
"Refund information","Informationen zur Gutschrift"
"Refund status","Gutschriftsstatus"
"Refunded Amount","Rückerstattungsbetrag"
"Refunds","Gutschrift"
"Register","Registireren"
"Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Release Date","Erscheinungsdatum"
"Return to order","Zurück zur Bestellung"
"Review","Übersicht"
"Rounding Adjustment","Rundungskorrekturen"
"Row Total","Zeilensumme"
"SEPA Mandate ID","SEPA Mandats ID"
"SKU:","SKU:"
"Sales","Verkäufe"
"Sales Tax Number","Steuer Nummer"
"Save","Speichern"
"Saved cards:","Gespeicherte Karten:"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Select Brand","Wählen Sie den Kartentyp aus."
"Select Method","Methode auswählen"
"Select the QR code symbol at the bottom right.","Wählen Sie das QR-Code Symbol auf der rechten unteren Seite aus."
"Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte TWINT)."
"Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Selected payment profile:","Ausgewähltes Zahlungsprofil:"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send amounts to TWINT in base currency.","Den Betrag an TWINT  in der Standard Währung setteln"
"Send amounts to TWINT in store's base currency.","Beträge in der Basiswährung des Shops an TWINT senden."
"Send invoice email","Rechnungsmail versenden"
"Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Server Polling Timeout","Server Polling Timeout"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Settlement after order","Erstellung nach der Bestellung"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Lieferadresse"
"Shipping Amount","Lieferkosten"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandmethode"
"Shipping Methods","Versandmethoden"
"Shipping Refund","Rückerstattung der Lieferkosten"
"Shop","Shop"
"Short Installation Instructions:","Kurzinstruktionen:"
"Should the authorized amount be transferred directly (direct) or should it be captured manually (deferred)?","Soll der autorisierte Betrag direkt transferiert werden (direkt) oder soll er manuell verbucht werden (verzögert)?"
"Show","Anzeigen"
"Show Account Selection","Account-Auswahl anzeigen"
"Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Show Image","Bild anzeigen"
"Show Payment Id","Payment ID anzeigen"
"Show the payment id","Anzeigen der Zahlungs ID"
"Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Show the payment image","Anzeigen der Zahlungslogos"
"Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Sign In","Anmelden"
"Social Security Number","Sozialversicherungsnummer"
"Sort Order","Sortierreihenfolgen"
"Status","Status"
"Store the payment details","Speichere Zahlungsdaten"
"Stored payment details","Gespeicherte Zahlungsdetails"
"Submit Order","Bestellung absenden"
"Submitting order information...","Bestellungsinformation übermitteln..."
"Subtotal","Zwischensumme"
"Success","Erfolgreich"
"Successful","Erfolgreich"
"Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Support","Support"
"System ID","System ID"
"System ID (Test)","System ID (Test)"
"TOKEN","Token"
"Tax Amount","Steuerbetrag"
"Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Test","Test"
"Test Mode","Test Modus"
"Test Transaction","Testtransaktion"
"The 'cash register' identifies your shop. If you ever need to change the id, you can generate a new id here.","Das 'Cash Register' identifiziert Ihren Shop. Falls Sie die ID ändern müssen, können Sie hier eine neue ID generieren."
"The HMAC key as defined in the live backoffice of TWINT. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von TWINT angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"The alias could not be found.","Der Alias konnte nicht gefunden werden."
"The alias has been deleted.","Der Alias wurde gelöscht"
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"The configuration has been saved.","Die Konfiguration wurde gespeichert."
"The configuration value for @label must not be empty (Key: @key).","Der Konfigurationswert für @label muss angegeben werden (Key: @key)."
"The configuration value for @label must not be empty (Key: @key, Language: @language).","Der Konfigurationswert für @label muss angegeben werden (Key: @key, Sprache: @language)."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr."
"The gender is required.","Geschlecht muss angegeben werden."
"The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"The given hmac key is empty.","Der HMAC Key ist ungültig."
"The given identifier is empty.","Der Identifier ist ungültig."
"The given password is empty.","Das Passwort ist ungültig."
"The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"The identifier as defined in the backoffice of TWINT.","Der Identifier, wie er im TWINT Backoffice angegeben ist."
"The invoice could not be captured and processed by","Die Rechung konnte bei TWINT nicht gebucht und verarbeitet werden"
"The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"The invoice has been changed.","Die Rechnung wurde geändert."
"The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"The merchant alias id as provided by TWINT.","Die Merchant Alias ID, die Sie von TWINT erhalten."
"The merchant alias id for tests as provided by TWINT.","Die Merchant Alias ID für Tests, die Sie von TWINT erhalten haben.,Die Merchant Alias ID für Tests, die Sie von TWINT erhalten."
"The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"The option partial success is not supported. Please contact TWINT to disable this feature on your account.","Die Option teilweiser Erfolg wird nicht unterstützt. Bitte kontaktieren Sie TWINT um dieses Feature in Ihrem Account zu aktivieren."
"The order could not be started: The order id is missing.","Die Bestellung konnte nicht initiiert werden: Die Bestell-ID fehlt."
"The order has been cancelled.","Die Bestellung wurde abgebrochen."
"The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"The order was cancelled: QR-Code and Numeric Code were not returned.","Die Bestellung wurde abgebrochen: Der QR-Code und der Numerische Code wurden nicht zurückgegeben"
"The order was cancelled: QR-Code and Token were not returned.","Die Bestellung wurde abgebrochen. QR-Code und Token wurde nicht zurückgemeldet."
"The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"The payment has been accepted.","Die Zahlung wurde akzeptiert"
"The payment has been denied.","Die Zahlung wurde abgelehnt."
"The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"The rang (PBX_RANG) as defined in the live backoffice of TWINT. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von TWINT_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"The shop polls the transaction status until the transaction is successful. The polling timeout indicates the number of minutes the polling is executed before the transaction is cancelled.","Der Shop fragt den Status der Transaktion solange ab, bis sie erfolgreich war. Der Polling Timeout gibt an, wie viele Minuten gepollt wird bevor die Transaktion abgebrochen wird."
"The shopping cart has been altered!","Der Warenkorb wurde verändert!"
"The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"The site id (PBX_RANG) as defined in the backoffice of TWINT.","Die Site ID (PBX_RANG) wie Sie im Backoffice von TWINT angegeben ist."
"The system id found in the TWINT backend under Sales Outlets / System ID.","Die System ID, welche im Backend von TWINT gefunden werden kann, unter Sales Outlets / System ID."
"The timeout was exceeded.","Das Zeitlimit wurde überschritten."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"The transaction cannot be cancelled online.","Die Transaktion kann nicht online storniert werden."
"The transaction cannot be captured online.","Die Transaktion kann nicht online erfasst werden."
"The transaction cannot be refunded online.","Die Transaktion kann nicht online zurückerstattet werden."
"The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"There has been a problem during the processing of your payment.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber um sicherzugehen, dass die Bestellung erfolgreich erfasst wurde."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Es besteht ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert. Bitte mit dieser E-Mail-Adresse anmelden, oder eine andere E-Mail-Adresse eingeben um ihren Account zu registrieren."
"There seems to be a problem with the TWINT module.","Es scheint ein Problem mit dem TWINT-Modul  zu geben."
"There was an error validating the login and password.","Ein Fehler ist bei der Validierung der Logindaten und des Passworts aufgetreten."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account ist nicht verifiziert. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungsemail erneut zu versenden."
"This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","Hier werden die wichtigsten Installationsschritte erläutert. Bitte befolgen Sie die einzelnen Punkte der Checkliste genau. Nur so kann ein sicherer Einsatz unter Einhaltung aller Sicherheitsregularien gewährleistet werden."
"This name is used to associate your twint account with your shop account. If this field is not filled your twint account is not stored in your shop account.","Der Benutzername ordnet den Shop Account Ihrem Twint Account zu. Falls dieses Feld nicht ausgefüllt wird, wird Ihr Twint Account nicht in ihrem Shop Account gespeichert."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the TWINT account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den TWINT Account."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Titel","Titel"
"Title","Titel"
"Title of the payment method","Name der Zahlungsmethode"
"Total","Total"
"Total Shipping Charges","Total Lieferkosten"
"Track order history","Getätigte Bestellungen verfolgen"
"Transaction","Transaktion"
"Transaction Authorized","Transaktion autorisiert"
"Transaction Cancelled","Transaktion storniert"
"Transaction Captured","Transaktion verbucht"
"Transaction History","Transaktionsverlauf"
"Transaction Id","Transaktions-ID"
"Transaction Paid","Transaktion bezahlt"
"Transaction Uncertain","Transaktion ist unsicher"
"Transaction Updates","Transaktionsupdates"
"Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Transaction history","Transaktionsübersicht"
"Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"Transactions","Transaktionen"
"Twint Account Name","Twint Benutzername"
"Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Uncertain Status","Unsicherer Status"
"Uncertain transactions","Unsichere Transaktionen"
"Update","Update"
"Update Qty's","Anzahl anpassen"
"Update interval for payments","Update Intervall für Zahlungen"
"Use Base Currency","Basiswährung verwenden"
"Use Default","Standardeinstellungen benutzen"
"Use base currency","Zahlung in der Standard Währung setteln."
"Used to toggle test / live mode. The switching from test to live mode will change the used settings from test to live settings.","Zum Umschalten zwischen Test und Live Modus. Ein Umschalten bewirkt einen Wechsel von den Test- zu den Live-Einstellungen."
"VISA","VISA"
"Validation","Validierung"
"Version","Version"
"View","Anzeigen"
"Wait On Success Page","Auf der Success Seite warten"
"We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"We recommend you to configure the cron job for your shop if you have not already. More information can be found in the manual that is part of the downloaded files.","Wir empfehlen, einen Cron Job für Ihren Shop einzurichten, falls Sie dies nicht bereits getan haben. Mehr Informationen finden Sie im Manual."
"When the store is not available (network outage, server failure or any other outage), when the feedback of TWINT is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  TWINT gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status 'bezahlt'. Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Year","Jahr"
"Yes","Ja"
"Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unisicheren Autorisierung."
"You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt anch der Bestellung oder manuell im Backend verbucht werden."
"You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"You created the order.","Sie haben die Bestellung aufgegeben."
"You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"You have to enter the BIC.","Sie müssen die BIC eingeben."
"You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Your checkout session expired.","Ihre Sitzung ist abgelaufen."
"TwintCw Aliases","TwintCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"TWINT","TWINT"
"TWINT Aliases","TWINT Aliasse"
"TWINT Error","TWINT Fehler"
"TWINT Parameters","TWINT Parameter"
"TWINT Refund Items","TWINT Gutschriftsartikel"
"TWINT Section","TWINT Sektion"
"TWINT Transactions","TWINT Transaktion"
"TWINT: Alias Management","TWINT: Alias Management"
"customweb ltd","customweb GmbH"
"no","Nein"
"or","oder"
"yes","Ja"
